rank,feature,feature_name,consensus_weight,direction,p_value,p_fdr,significant,effect_size,boruta_fraction,boruta_confirmed,stability_pct,xgb_importance
23,mean_SUCCESSFUL_PASSES_TO_LANE_LEFT_HALF_SPACE,SUCCESSFUL_PASSES_TO_LANE_LEFT_HALF_SPACE,0.004929403839697701,higher,0.03908398901694977,0.22653966910903053,False,0.25260203010261206,0.0,False,26.0,0.010444007
24,mean_BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,0.004899284799372432,higher,0.00604304632855801,0.10115079752512064,False,0.46978919989605317,0.04,False,32.0,0.00019860524
25,mean_BYPASSED_DEFENDERS_TO_PITCH_POSITION_FIRST_THIRD,BYPASSED_DEFENDERS_TO_PITCH_POSITION_FIRST_THIRD,0.004897632490952794,lower,0.02340720590781464,0.17106629131757253,False,-0.20656665189275467,0.04,False,32.0,0.009802491
26,mean_DEFENSIVE_TOUCHES_BY_ACTION_HEADER,DEFENSIVE_TOUCHES_BY_ACTION_HEADER,0.004836582586543324,higher,0.4388096335142242,0.7318774392908721,False,0.11876137593378705,0.0,False,38.0,0.012008548
27,mean_BYPASSED_DEFENDERS_BY_ACTION_SAVE,BYPASSED_DEFENDERS_BY_ACTION_SAVE,0.004816310605227292,lower,0.02724911781468944,0.1907438247028261,False,-0.24302684990021042,0.32,False,38.0,0.0014627527
28,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,0.004715278057091145,higher,0.014522605630983466,0.15526232557590108,False,0.31404367718811654,0.14,False,32.0,0.0030789285
29,mean_BALL_LOSS_REMOVED_TEAMMATES_AT_PHASE_SET_PIECE,BALL_LOSS_REMOVED_TEAMMATES_AT_PHASE_SET_PIECE,0.00463317192740545,lower,0.0024354131962330437,0.07592156851208674,False,-0.3487701654788435,0.1,False,26.0,0.0035374416
30,mean_BYPASSED_OPPONENTS_NUMBER_AT_PHASE_SET_PIECE,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_SET_PIECE,0.004515810406702127,lower,0.03998795904900619,0.22653966910903053,False,-0.18844953604079298,0.0,False,46.0,0.005893273
31,mean_BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,0.004409352902149589,higher,0.007671730737581114,0.12221860692284396,False,0.3679393196521744,0.04,False,30.0,0.0018268169
32,mean_SUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,SUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,0.004353413444105405,higher,0.001000330814950926,0.06744273818792866,False,0.40509233248762244,0.0,False,24.0,0.0023336622
