playerId,name,age,status,origin_team,origin_comp,origin_median,predicted_proba,predicted_plays,actual_plays
44570,Hillel Konaté,31.0,PLAYS,LB Châteauroux,france_3,0.513178375,0.012010581,0,1
53183,Simon Ngapandouetnbu,22.0,PLAYS,Nîmes Olympique,france_3,0.513178375,0.2938492,0,1
1784,Maxime Dupé,33.0,PLAYS,RSC Anderlecht,belgian_pro_league,0.67107149,0.14581743,0,1
2463,Radoslaw Majecki,26.0,PLAYS,Cercle Brügge,belgian_pro_league,0.67107149,0.49271658,0,1
17234,Hervé Koffi,29.0,PLAYS,RSC Charleroi,belgian_pro_league,0.67107149,0.47576806,0,1
146112,Georgiy Yermakov,23.0,PLAYS,FK Oleksandriya,premier_liga_ukraine,0.401354885,0.034576647,0,1
13289,Patrik Gunnarsson,25.0,PLAYS,Viking FK,eliteserien,0.5777367099999999,0.56387943,1,1
62320,Gonzalo Crettaz,26.0,PLAYS,CD Castellón,laliga2,0.6,0.07083939,0,1
26593,Vitezslav Jaros,24.0,PLAYS,SK Sturm Graz,bundesliga_austria,0.6016963049999999,0.6042055,1,1
33414,Viljar Myhra,29.0,PLAYS,Strømsgodset IF,eliteserien,0.5777367099999999,0.6026611,1,1
65869,Marcus Bundgaard,24.0,PLAYS,IF Elfsborg,allsvenskan,0.579539565,0.73592466,1,1
8579,Marco Bizot,35.0,PLAYS,AZ Alkmaar,eredivisie,0.6917069149999999,0.08862874,0,1
8997,Yvon Mvogo,31.0,PLAYS,PSV Eindhoven,eredivisie,0.6917069149999999,0.4291748,0,1
44820,Tobias Lawal,25.0,PLAYS,LASK,bundesliga_austria,0.6016963049999999,0.1585923,0,1
47972,Daniel Bielica,26.0,PLAYS,Górnik Zabrze,ekstraklasa,0.6288633,0.054454654,0,1
126944,Maximilian Brüll,23.0,PLAYS,Borussia Mönchengladbach II,regionalliga_west,0.37057419,0.022765169,0,1
107868,Justin Treichel,23.0,PLAYS,FC Schalke 04 II,regionalliga_west,0.37057419,0.9893142,1,1
103168,Mohamed Koné,24.0,PLAYS,USL Dunkerque,ligue2,0.61397649,0.36665365,0,1
53364,Taishi Brandon Nozawa,23.0,PLAYS,FC Tokyo,j1_league,0.614975735,0.08024946,0,1
116723,Pavlo Isenko,22.0,PLAYS,Vorskla Poltava,premier_liga_ukraine,0.401354885,0.0024329962,0,1
97058,Menno Bergsen,26.0,PLAYS,NK Maribor,prva_liga,0.383098135,0.5484917,1,1
4579,Hans Christian Bernat,25.0,PLAYS,Odense Boldklub,superligaen,0.6607162449999999,0.17116435,0,1
78816,Jonas Krumrey,22.0,PLAYS,Lyngby BK,superligaen,0.6607162449999999,0.011477796,0,1
226,Tomas Koubek,33.0,DROPPED,FC Augsburg,bundesliga_1,0.82647051,0.11793374,0,0
107851,Robert Kwasigroch,21.0,DROPPED,Hertha BSC,bundesliga_2,0.710514535,0.04059016,0,0
66533,Antoine Lejoly,27.0,DROPPED,Beerschot V.A.,belgian_pro_league,0.67107149,0.03035622,0,0
98180,Julien Devriendt,27.0,DROPPED,FCV Dender EH,belgian_pro_league,0.67107149,0.057088245,0,0
184398,Emile Doucouré,18.0,DROPPED,Beerschot V.A.,belgian_pro_league,0.67107149,0.18772766,0,0
51611,Maxim Deman,24.0,DROPPED,KV Kortrijk,belgian_pro_league,0.67107149,0.033687223,0,0
30166,Martin Vantruba,28.0,DROPPED,FC Nordsjaelland,superligaen,0.6607162449999999,0.77444905,1,0
29378,Tim Kips,25.0,DROPPED,FC Erzgebirge Aue,bundesliga_3,0.557671055,0.025159923,0,0
106537,Muhamed Sahinovic,22.0,DROPPED,Rakow Czestochowa,ekstraklasa,0.6288633,0.005938544,0,0
28189,Daniel Klein,24.0,DROPPED,SV Sandhausen,bundesliga_3,0.557671055,0.020363808,0,0
146483,Malwin Zok,22.0,DROPPED,SV Waldhof Mannheim,bundesliga_3,0.557671055,0.023070531,0,0
47278,Lukas Schneller,24.0,DROPPED,SC Freiburg II,bundesliga_3,0.557671055,0.52026635,1,0
81397,Nedeljko Stojisic,28.0,DROPPED,Vegalta Sendai,j1_league,0.614975735,0.0325258,0,0
49401,Jan de Boer,25.0,DROPPED,FC Groningen,eredivisie,0.6917069149999999,0.0683952,0,0
